bigram,count
gonz alez,46
pareto frontier,23
regulated forest,23
alez gonz,21
harvest scheduling,17
planning horizon,16
multi objective,15
forest management,13
optimal rotation,12
rotation regulated,11
real forest,11
diaz balteiro,10
decision maker,10
forest planning,10
continuous formulation,9
simulated young,9
flow timber,8
weighting method,8
young forest,8
gradient type,7
objective optimization,7
volume harvested,7
forest harvest,6
azquez endez,6
land timber,6
timber value,6
management prescriptions,6
pareto optimal,6
case study,6
state variables,6
