trigram,count
gonz alez gonz,21
alez gonz alez,21
rotation regulated forest,10
simulated young forest,8
multi objective optimization,7
optimal rotation regulated,7
land timber value,6
harvest scheduling problem,5
weighting method bfgs,5
real goal volumes,5
forest harvest scheduling,4
single species aged,4
species aged stands,4
obtain pareto frontier,4
eucalyptus globulus labill,4
preferences decision maker,4
gonz aez gonz,4
aez gonz alez,4
next rotations optimal,4
rotations optimal rotation,4
next planning horizon,4
gonz alez fig,4
pareto frontiers obtained,4
goal volumes rotation,4
decision making process,4
multi objective models,3
objective models forest,3
models forest harvest,3
universidade santiago compostela,3
maximize economic profitability,3
