bigram,count
taishan area,82
ecological network,68
ecological risk,43
ecological source,41
ecological corridors,39
farmlands lakes,34
mountains rivers,33
rivers forests,33
forests farmlands,33
lakes grasslands,33
life community,29
appl sci,29
ecological corridor,28
ecological sources,24
risk assessment,21
dawen river,21
ecosystem service,20
regional ecological,19
important ecological,19
dongping lake,19
community mountains,18
multi objective,17
total area,17
potential ecological,15
landscape pattern,15
cumulative resistance,14
gravity model,14
grasslands taishan,14
ecological space,14
pattern index,14
