trigram,count
forests farmlands lakes,33
farmlands lakes grasslands,33
mountains rivers forests,32
rivers forests farmlands,32
ecological risk assessment,19
life community mountains,17
community mountains rivers,17
regional ecological network,14
lakes grasslands taishan,14
grasslands taishan area,14
ecosystem service value,13
lakes grasslands life,12
grasslands life community,12
important ecological corridors,12
multi objective optimization,11
river dongping lake,11
minimum cumulative resistance,10
landscape pattern index,10
ecological source area,10
ecological network construction,9
potential ecological corridors,9
dawen river dongping,9
accounting total area,9
area study area,9
construction regional ecological,8
appl sci figure,8
taishan area appl,7
area appl sci,7
ecological protection restoration,7
types taishan area,7
