bigram,count
decision makers,64
decision analysis,33
zone boundaries,29
dispatch system,24
dispatching system,23
decision making,22
articles advance,20
decision framework,20
framework evaluating,20
analysis articles,19
rocky mountain,19
thompson decision,19
system decision,19
belval thompson,18
evaluating wildfire,18
wildfire dispatch,18
problem statement,16
forest service,14
dispatching centers,13
structured decision,13
wildland fire,13
center locations,13
recruitment retention,13
rma fec,11
trade offs,11
cost living,11
zone configuration,11
trade analysis,10
customer service,10
coordinating group,9
