trigram,count
decision analysis articles,19
analysis articles advance,19
decision framework evaluating,19
belval thompson decision,18
thompson decision framework,18
framework evaluating wildfire,18
evaluating wildfire dispatch,18
wildfire dispatch system,18
dispatch system decision,18
system decision analysis,18
structured decision making,12
rocky mountain area,8
decision efficiency team,8
levels customer service,8
decision making process,7
rocky mountain coordinating,6
mountain coordinating group,6
taxpayer dollars wisely,6
articles advance figure,6
dispatching system colorado,5
rmcg rma fec,5
associated fundamental objective,5
provide health zone,5
health zone boundaries,5
fort collins colorado,4
mountain area fire,4
dispatching zone boundaries,4
current dispatching system,4
trade analysis workshop,4
decision making framework,4
