bigram,count
forestry industry,88
state owned,73
forest areas,72
owned forest,71
industry transformation,36
transformation efficiency,33
heilongjiang state,28
forest resources,16
efficiency forestry,14
public welfare,14
output value,14
data envelopment,13
areas heilongjiang,13
decision making,13
scientific reports,12
reports s41598,12
s41598 vol,12
envelopment analysis,12
multi objective,10
evaluation index,10
industrial transformation,10
social development,10
multi functional,10
heilongjiang province,10
transformation forestry,9
transformation state,9
industry state,9
input output,9
index system,8
industrial economy,8
