trigram,count
state owned forest,71
owned forest areas,61
forestry industry transformation,35
heilongjiang state owned,28
forest areas heilongjiang,12
scientific reports s41598,12
reports s41598 vol,12
data envelopment analysis,12
transformation forestry industry,9
industry transformation efficiency,9
efficiency forestry industry,9
transformation state owned,9
forestry industry state,9
industry state owned,9
areas heilongjiang province,9
transformation efficiency heilongjiang,7
efficiency heilongjiang state,7
industry heilongjiang state,7
industry transformation state,6
forestry industry heilongjiang,6
decision making unit,6
public welfare forests,6
nonlinear multi objective,5
evaluation index system,5
owned forest area,5
transformation efficiency forestry,5
key state owned,5
public welfare forest,5
industry transformation heilongjiang,4
transformation heilongjiang state,4
