bigram,count
spatial structure,52
particle swarm,40
stand spatial,37
thinning intensity,33
tree species,31
multi objective,26
forest planning,25
distribution pattern,23
domi angl,21
natural plots,21
tree level,20
pso algorithm,20
forest management,20
uniform angle,19
species mingling,18
pso model,16
random distribution,16
model pso,15
spatial distribution,15
forest spatial,15
external set,15
objective forest,14
thinning intensities,14
multi dimensional,12
dbh dominance,12
neighboring trees,12
neighborhood indices,11
objective optimization,11
structure index,11
stand structure,11
