trigram,count
stand spatial structure,33
multi objective forest,14
forest spatial structure,12
spatial distribution pattern,10
tree species mixing,10
tree level multi,9
level multi objective,9
multi dimensional stand,9
multi objective optimization,9
domi angl ming,9
ming domi angl,9
thinning intensity thinning,9
intensity thinning intensity,9
ecol manag crossref,9
dimensional stand spatial,8
optimal thinning intensity,8
uniform distribution random,8
spatial structure index,7
objective forest planning,7
distribution random distribution,7
objective forest harvest,6
forest harvest model,6
harvest model pso,6
random distribution aggregated,6
distribution aggregated distribution,6
standard deviation tree,6
deviation tree size,6
horizontal distribution pattern,6
particle particle swarm,6
4th 6th 8th,6
