bigram,count
fuel break,56
multi objective,52
commercial thinning,40
net revenue,38
pile burn,38
wildfire hazard,34
merchantable volume,27
size class,26
fuel breaks,25
per project,25
canopy closure,24
forest service,23
break network,21
non commercial,21
objective scenario,20
fuel treatments,18
stand canopy,18
non forest,18
usda forest,17
national forest,17
usd usd,17
financial valuation,16
cut trees,16
treatment types,16
fuel loading,16
loading ton,16
ton diameter,16
diameter size,16
forest treatment,16
timber sale,16
