trigram,count
fuel break network,21
non commercial thinning,21
multi objective scenario,20
usda forest service,17
stand canopy closure,16
fuel loading ton,16
loading ton diameter,16
ton diameter size,16
diameter size class,16
usd ranging usd,16
ranging usd usd,16
pile burn method,16
area per project,16
fire peer review,14
treatment area per,12
thinning stand canopy,10
surface fuel treatments,10
forest non forest,10
feasible project configurations,9
linear fuel break,8
umatilla national forest,8
financial valuation outputs,8
valuation outputs fvs,8
outputs fvs included,8
fvs included population,8
included population cut,8
population cut trees,8
cut trees treated,8
trees treated stand,8
treated stand dbh,8
