bigram,count
multi objective,27
objective optimization,27
region graph,17
forest engineering,14
ground damage,14
soil damage,13
harvest site,12
mean std,12
international forest,11
cut length,11
single objective,11
number assortments,11
strip roads,11
std mean,10
distance duration,10
loading nodes,9
unloading node,9
real life,9
length harvesting,8
route length,8
harvester data,8
life graph,8
nodes region,8
optimization strategy,7
harvesting operations,7
ala ilomaki,7
loading unloading,7
engineering figure,7
optimization algorithm,7
eero holmstrom,6
