trigram,count
multi objective optimization,21
international forest engineering,11
mean std mean,10
std mean std,9
cut length harvesting,8
real life graph,8
nodes region graph,8
forest engineering figure,7
objective optimization strategy,5
length harvesting operations,5
objective optimization problem,5
distance duration damage,5
uniformly random search,5
optimization strategy timber,4
strategy timber forwarding,4
timber forwarding cut,4
forwarding cut length,4
duration soil damage,4
vehicle routing problem,4
number assortments load,4
wdistance wtime wdamage,4
single objective optimization,4
artificial model system,4
real harvest site,4
eero holmstrom jussi,3
resources institute finland,3
institute finland luke,3
single objective time,3
ant colony optimization,3
multi objective problem,3
