bigram,count
solution solution,190
player player,111
carbon sequestration,77
stock level,61
game theory,58
objective function,56
forest management,49
multi objective,49
pareto optimal,46
forest harvesting,43
nash equilibrium,43
npv forest,39
amount carbon,34
harvesting irr,33
sequestration ton,31
objective functions,27
decision making,26
economic environmental,23
interest rate,22
volume per,21
player stock,21
objective optimization,20
irr amount,20
function values,19
level grid,19
economic player,18
tree species,18
beech hornbeam,18
environmental player,17
interest rates,16
