trigram,count
solution solution solution,180
player player player,90
npv forest harvesting,39
amount carbon sequestration,33
forest harvesting irr,31
carbon sequestration ton,31
harvesting irr amount,20
irr amount carbon,20
multi objective optimization,19
objective function values,19
player stock level,19
stock level grid,19
game theory model,14
range objective function,14
carbon sequestration tons,13
forests peer review,13
npv carbon sequestration,12
pareto optimal frontier,12
sequestration ton npv,12
stock level table,12
beech hornbeam oak,11
table objective function,11
hornbeam oak alder,10
player objective function,10
values objective functions,10
optimal frontier stock,10
frontier stock level,10
figure range objective,10
objective function variations,10
function variations player,10
