bigram,count
seed dispersal,54
seed trees,47
seed tree,38
seed supply,36
natural regeneration,16
post treatment,15
number seed,15
manag crossref,13
field managers,12
forest management,12
decision making,12
seed arrival,12
ecol manag,12
multi objective,11
treatment seed,11
estimated seed,11
number seeds,11
seed traps,10
seed crop,10
tree selection,9
stand density,9
tree density,8
genetic algorithm,8
supply regeneration,8
dispersal models,8
dispersal kernels,8
trade offs,8
trees black,8
black dots,8
figure figure,7
