trigram,count
number seed trees,13
ecol manag crossref,12
seed tree selection,9
post treatment seed,9
estimated seed dispersal,9
seed tree density,8
seed supply regeneration,8
seed dispersal models,8
trees black dots,8
selection seed trees,6
treatment seed supply,6
seed tree method,6
experimental plot tenerife,6
seed dispersal kernels,6
trade offs among,6
seed dispersal model,5
uniform seed supply,5
reduction stand density,5
supply regeneration area,5
canary islands pine,5
forests peer review,5
coefficient variation seed,5
multi objective optimization,4
model seed dispersal,4
number seeds arriving,4
seed crop loss,4
correlation coefficient observed,4
counts seed traps,4
last generation population,4
relative pre treatment,4
