bigram,count
open research,66
research europe,66
multi objective,47
ecosystem services,40
europe last,37
last updated,37
updated jan,37
authors response,36
reviewer comments,34
objective optimization,33
forest management,33
page open,32
trade offs,32
full text,30
forest planning,29
europe open,28
code ocean,27
publisher full,27
software tool,26
objective functions,24
competing interests,18
forest simulators,18
description software,17
optimization tool,16
forest ecosystem,16
optimization problem,16
pareto optimal,15
objectives constraints,15
preference information,14
information provided,14
