bigram,count
forest management,41
management alternatives,35
carbon sequestration,31
trade offs,25
ecosystem services,24
multi objective,23
pareto optimal,21
spruce spruce,21
management planning,17
set aside,16
biodiversity conservation,15
optimal solutions,15
timber harvesting,15
management strategies,14
stand management,14
objective function,14
timber harvest,14
forest ecology,14
ecology management,14
objective functions,13
max max,13
climate change,12
optimal management,12
wood price,12
econ clim,12
objective optimization,11
wood prices,11
moo model,11
management period,11
management strategy,11
