trigram,count
pareto optimal solutions,14
forest ecology management,14
spruce spruce spruce,12
stand management period,11
econ clim biodiv,11
max max max,11
forest policy economics,11
forest management alternatives,9
pine nrst pine,9
yes yes yes,9
policy economics forpol,9
ecology management foreco,9
multi objective optimization,8
forest ecosystem services,8
carbon sequestration biodiversity,8
forest management planning,8
sustainable forest management,7
trade offs synergies,7
optimal management alternatives,7
mou2ga mou0ga mounoga,7
econ 106nok clim,7
106nok clim 103tc,7
clim 103tc biodiv,7
103tc biodiv 103index,7
nrst pine nrst,7
management planning strategies,6
mou2ga mou2ga mou0ga,6
management period greater,6
expected npv timber,6
knee point method,5
