bigram,count
tropical forest,43
onlinelibrary wiley,34
wiley online,34
online library,34
early late,33
elm fates,31
tropical forests,29
multi objective,23
modeling earth,22
clear cut,22
advances modeling,21
earth systems,21
objective functions,19
selective logging,19
late successional,19
creative commons,18
objective optimization,17
systems 2023ms004195,17
cheng downloaded,17
downloaded agupubs,17
agupubs onlinelibrary,17
wiley 2023ms004195,17
2023ms004195 colegio,17
colegio postgraduados,17
postgraduados carr,17
carr mexico,17
mexico texcoco,17
texcoco wiley,17
library onlinelibrary,17
wiley wiley,17
