trigram,count
wiley online library,34
advances modeling earth,21
modeling earth systems,21
earth systems 2023ms004195,17
cheng downloaded agupubs,17
downloaded agupubs onlinelibrary,17
agupubs onlinelibrary wiley,17
onlinelibrary wiley 2023ms004195,17
wiley 2023ms004195 colegio,17
2023ms004195 colegio postgraduados,17
colegio postgraduados carr,17
postgraduados carr mexico,17
carr mexico texcoco,17
mexico texcoco wiley,17
texcoco wiley online,17
online library onlinelibrary,17
library onlinelibrary wiley,17
onlinelibrary wiley wiley,17
wiley wiley online,17
online library articles,17
library articles creative,17
articles creative commons,17
creative commons license,17
early late successional,16
commons license advances,16
license advances modeling,16
early late pfts,16
multi objective optimization,15
clear cut deforestation,11
coexistence early late,9
