bigram,count
forest management,59
multi objective,32
genetic algorithms,24
forest planning,24
custom nsga,18
pareto front,18
genetic algorithm,16
nsga algorithm,16
non dominated,15
custom mutation,15
mutation operator,14
standard nsga,14
pop gen,14
harvest age,13
crossover mutation,11
standard deviation,10
harvest ages,10
objective optimisation,9
objective genetic,8
objective forest,8
dominated solutions,8
forest stands,8
optimal solutions,8
crowding distance,8
objective function,8
case study,8
algorithm nsga,7
solution space,7
forest managers,7
climate change,7
