bigram,count
pareto frontier,53
ecosystem services,46
sub problems,34
trade offs,30
forest management,27
sub problem,22
adjacency constraints,21
eph ceph,19
spatial constraints,18
carbon stock,15
global change,15
fire resistance,14
frontiers forests,14
forests global,14
change frontiersin,14
east paiva,14
management planning,13
frontiersin abate,13
abate ffgc,13
optimization problems,12
generate pareto,12
soil erosion,11
species stand,11
erosion ton,11
sub areas,11
ceph eph,11
offs among,10
offs ecosystem,10
pareto frontiers,10
decision maps,10
