trigram,count
frontiers forests global,14
forests global change,14
global change frontiersin,14
forest management planning,13
change frontiersin abate,13
frontiersin abate ffgc,13
eph ceph eph,11
ceph eph ceph,11
trade offs among,10
trade offs ecosystem,10
offs ecosystem services,10
generate pareto frontier,9
writing review editing,8
paiva west paiva,7
abate ffgc figure,6
border sub problem,6
twood carb ton,6
carb ton erosion,6
ton erosion ton,6
erosion total soil,5
total soil erosion,5
soil erosion ton,5
paiva east paiva,5
adjacency constraint twood,5
review editing methodology,5
multiple ecosystem services,4
among ecosystem services,4
spatial optimization problems,4
pareto frontier method,4
information trade offs,4
