bigram,count
forest management,31
carbon storage,29
forest farm,23
broadleaved mixed,21
tree species,19
jingouling forest,17
frontiers forests,15
forests global,15
global change,15
change frontiersin,14
zhang ffgc,14
dominant tree,14
conifer broadleaved,14
mixed plantation,14
frontiersin zhang,13
conifer mixed,13
mixed forest,12
multi objective,10
forest planning,10
broad leaved,10
spatial planning,9
plantation conifer,9
decision support,8
cutting amount,8
species groups,8
forest area,8
clear cutting,8
time cycle,8
jilin province,7
time periods,7
