trigram,count
jingouling forest farm,16
frontiers forests global,15
forests global change,15
global change frontiersin,14
conifer broadleaved mixed,14
change frontiersin zhang,13
frontiersin zhang ffgc,13
dominant tree species,11
tree species groups,8
plantation conifer broadleaved,8
birch broadleaved mixed,7
broadleaved mixed larix,7
mixed larix plantation,7
broadleaved mixed plantation,7
mixed plantation conifer,7
conifer mixed plantation,7
sustainable forest management,6
broadleaved mixed conifer,6
mixed conifer mixed,6
forest management planning,5
forest spatial planning,5
forest conifer broadleaved,5
cutting conifer mixed,5
cutting gradual cutting,5
cutting selection cutting,5
multi objective management,4
tree species group,4
six dominant tree,4
soil total carbon,4
broad leaved forest,4
