bigram,count
scenario scenario,85
forest management,50
forest resources,34
age structure,27
carbon sequestration,27
carbon price,25
period time,25
esc scenario,22
time period,20
carbon storage,19
planning period,19
forest planning,17
scenario esc,17
spatial allocation,16
frontiers forests,16
forests global,16
global change,16
change frontiersin,16
wood price,16
price belongs,16
forest carbon,15
guo ffgc,15
planning model,14
management measures,14
wood production,14
frontiersin guo,14
study area,14
tree species,14
session session,14
optimization scenarios,13
