trigram,count
scenario scenario scenario,67
period time period,17
time period time,17
frontiers forests global,16
forests global change,16
global change frontiersin,16
change frontiersin guo,14
frontiersin guo ffgc,14
session session session,13
scenario esc scenario,13
forest management measures,11
esc scenario esc,11
forest planning model,10
carbon sequestration increment,10
age structure adjustment,9
simulated annealing algorithm,8
optimization forest management,8
dynamic age structure,8
npv timber npv,8
wood price belongs,8
carbon price belongs,8
spatial allocation schemes,7
max npv timber,7
various social preference,7
social preference scenarios,7
production total npv,7
dynamic forest resources,7
forest management planning,6
price belongs hpp,6
impact social preferences,5
