bigram,count
grouse species,36
spatial scales,34
trade offs,31
grouse occupancy,26
willow grouse,22
forest management,21
black grouse,18
environmental management,14
hazel grouse,14
timber production,13
forest structure,13
pareto curves,13
mazziotta environmental,12
stand level,12
trade curves,12
forest grouse,11
economic value,10
stand scale,10
management regimes,10
study areas,10
grouse capercaillie,9
intensive forestry,9
probability occurrence,9
kullback leibler,9
thinning thinning,9
predicted ideal,9
boreal forest,8
spatial scale,8
tetrao urogallus,8
habitat quality,8
