trigram,count
mazziotta environmental management,12
black grouse capercaillie,8
occupancy grouse species,8
trade offs timber,7
capercaillie willow grouse,7
capercaillie tetrao urogallus,7
writing review editing,7
review editing writing,7
editing writing original,7
writing original draft,7
natural resources institute,6
resources institute finland,6
net present value,5
grouse capercaillie willow,5
forest structure composition,5
stand home range,5
home range landscape,5
forest dwelling species,5
offs timber production,5
curves spatial scales,5
kullback leibler divergence,5
species spatial scales,5
science article pii,5
institute finland luke,4
multiple spatial scales,4
present value npv,4
forest grouse species,4
grouse black grouse,4
related forest structure,4
timber production grouse,4
