bigram,count
navarro cerrillo,25
stands thinned,22
forest management,21
relative tolerance,19
tolerance parameter,18
pareto frontier,17
pinus canariensis,16
total return,16
canarian pine,16
suppression difficulty,15
science total,14
total environment,14
thinned period,14
canary islands,13
fire risk,13
fayal brezal,13
objective functions,13
thinning cost,12
cerrillo science,12
total sdi,12
pine forests,12
objective function,12
thinning schedules,11
pine plantations,11
average sdi,11
energy wood,11
canary pine,11
sdi values,11
multi objective,10
fern andez,10
