trigram,count
relative tolerance parameter,18
science total environment,14
navarro cerrillo science,12
cerrillo science total,12
stands thinned period,11
canarian pine forests,10
suppression difficulty index,9
mixed integer linear,7
levels relative tolerance,7
roundwood energy wood,7
fern andez palacios,7
forest ecol manag,7
objective mixed integer,6
integer linear programming,6
difficulty index sdi,6
period levels relative,6
thinned period stands,6
period stands thinned,6
pinus canariensis forests,5
thinning cost total,5
cost total return,5
fire prone forests,5
canary islands spain,5
number stands thinned,5
canarian pine fayal,5
pine fayal brezal,5
minimization total sdi,5
fayal brezal canarian,5
brezal canarian pine,5
tsdi avg sdi,5
