bigram,count
protective forests,66
alaer city,46
land types,21
multi objective,20
soil erosion,19
flus model,18
carbon sequestration,18
spatial distribution,17
food security,17
quantity structure,17
land type,17
water yield,14
protective forest,14
plan plan,13
spatial optimization,12
taklamakan desert,12
non dominated,11
genetic algorithm,11
nsga algorithm,11
hectares hm2,11
structure optimization,10
ecological benefits,9
pareto optimal,9
total area,9
kappa coefficient,9
dkt dkt,9
optimization protective,8
distribution protective,8
food production,8
nsga flus,8
