trigram,count
plan plan plan,11
quantity structure optimization,9
optimization protective forests,8
distribution protective forests,8
land alaer city,8
alaer city hectares,8
city hectares hm2,8
spatial optimization protective,7
non dominated sorting,7
protective forests alaer,7
forests alaer city,7
multi objective optimization,7
area alaer city,7
map protective forests,7
carbon sequestration water,6
sequestration water yield,6
pareto optimal solutions,6
probability calculation module,6
total area land,6
area land type,6
crop land forest,6
land forest land,6
suitability protective forests,6
distribution map protective,6
protective forests optimization,6
dominated sorting genetic,5
sorting genetic algorithm,5
future land simulation,5
spatial distribution protective,5
gdp carbon sequestration,5
