bigram,count
decision maker,40
height differential,33
multi objective,31
dap data,29
als data,23
differential approach,23
direct approach,23
objective function,22
als dap,21
reference dataset,20
forest planning,18
als als,18
per cent,17
site index,15
value information,14
top height,14
stochastic programming,13
optimization model,12
determination schemes,12
als subsequent,11
airborne laser,10
subsequent dap,10
value risk,10
data als,9
temporal als,9
forest management,9
ideal nadir,9
nadir values,9
voi assessment,8
direct height,8
