bigram,count
carbon sequestration,37
forest management,37
piedra jimenez,25
forest policy,23
policy economics,22
co2 sequestration,21
forest operation,20
planning horizon,19
clear cutting,18
jimenez forest,18
hull reformulation,17
forest planning,15
forest area,14
single objective,14
multi objective,13
net present,13
present value,13
garcia gonzalo,13
forest stand,13
forest growth,12
disjunctive programming,11
net carbon,11
npv npv,11
pareto point,11
net co2,10
management prescriptions,10
sequestration loss,10
eng http,10
big reformulation,9
objective single,9
