trigram,count
forest policy economics,22
piedra jimenez forest,18
jimenez forest policy,18
net present value,13
carbon sequestration loss,10
net carbon sequestration,9
single objective single,9
objective single objective,9
specific co2 sequestration,9
policy econ http,9
econ http forpol,9
generalized disjunctive programming,8
comput chem eng,8
chem eng http,8
sequestration loss parties,7
forest management prescription,7
stratum stratum stratum,7
hull big hull,7
big hull big,7
eng http compchemeng,7
net co2 sequestration,6
accumulated biomass increment,6
pareto optimal solutions,6
policy economics table,5
optimal forest plan,5
thinning clear cutting,5
forest management prescriptions,5
loss co2 sequestration,5
year year year,5
forest growth simulator,5
