bigram,count
forest fire,81
emergency rescue,61
aviation emergency,50
multi objective,49
forest fires,34
fire occurrence,21
hainan province,20
aviation forest,20
rescue network,19
demand point,18
sustainable operations,17
fire aviation,17
forest protection,17
demand points,17
site selection,17
operations computers,16
nsga algorithm,16
number sites,15
fire point,15
objective function,14
stage multi,13
huang zhao,13
zhao sustainable,13
optimization model,12
fire risk,12
response time,12
protection station,12
objective stochastic,11
logistic regression,11
forest resources,11
