trigram,count
aviation emergency rescue,43
emergency rescue network,17
sustainable operations computers,16
forest fire aviation,16
fire aviation emergency,15
aviation forest protection,14
stage multi objective,13
forest fire occurrence,13
huang zhao sustainable,13
zhao sustainable operations,13
forest protection station,12
multi objective stochastic,11
multi objective optimization,8
emer gency rescue,8
fire occurrence probability,8
minimum number sites,8
forest fire rescue,7
stochastic optimization model,7
aviation emer gency,7
forest fire risk,7
probability forest fire,7
objective stochastic optimization,6
multi objective planning,6
forest fire probability,6
network forest fire,5
logistic regression model,5
emergency res cue,5
probability prediction model,5
pre selected sites,5
objective function values,5
