Articulo,Termino,weight
3_Amiri_y_Mohammadi_2024,forests peer review,13
50_Nanos etal_2024,forests peer review,5
48_Medeiros etal_2020,forests peer review,7
45_Marques etal_2021,forests peer review,7
31_Ding etal_2025,non dominated sortin,7
7_Castro etal_2024,non dominated sortin,6
50_Nanos etal_2024,models,22
Ejemplo_bibliografico_Ça,models,22
28_Cheng etal_2024,models,34
27_Chung etal_2015,international forest,16
38_Holmström etal_2023,international forest,11
9_Eyvindson etal_2018,timber,35
34_Fotakis etal_2012,timber,38
17_Triviño etal_2015,timber,64
36_Gonzalez-Gonzalez etal,timber,20
40_Jones etal_2024,timber,30
47_Mazziotta etal_2025,timber,29
26_Chen etal_2019,timber,94
21_Belavenutti etal_2023,timber,46
2_Alvarez etal_2018,timber,20
12_Nabhani etal_2024,timber,76
8_Diaz-Yanez etal_2021,timber,30
25_Chen etal_2017,timber,84
27_Chung etal_2015,timber,44
35_Fotakis_2015,timber,33
55_Pierda-Jimenez etal_20,timber,35
17_Triviño etal_2015,ecosystem,53
43_Langner etal_2017,ecosystem,55
10_Eyvindson etal_2024,ecosystem,55
19_Xiao etal_2022,ecosystem,46
45_Marques etal_2021,ecosystem,35
33_Ezquerro etal_2019,ecosystem,23
8_Diaz-Yanez etal_2021,ecosystem,109
1_Abate etal_2024,ecosystem,53
31_Ding etal_2025,constraints,24
10_Eyvindson etal_2024,constraints,56
12_Nabhani etal_2024,constraints,37
1_Abate etal_2024,constraints,50
55_Pierda-Jimenez etal_20,constraints,31
52_Neto etal_2020,constraints,37
44_Lu y Zhang_2024,constraints,29
37_Guo y He_2025,frontiers forests gl,16
1_Abate etal_2024,frontiers forests gl,14
44_Lu y Zhang_2024,frontiers forests gl,15
34_Fotakis etal_2012,spatial forest plann,12
7_Castro etal_2024,spatial forest plann,7
35_Fotakis_2015,spatial forest plann,3
25_Chen etal_2017,network,87
25_Chen etal_2017,supply,83
25_Chen etal_2017,carbon,62
25_Chen etal_2017,cost,57
25_Chen etal_2017,emissions,54
25_Chen etal_2017,objective,41
25_Chen etal_2017,design,40
25_Chen etal_2017,pareto,38
25_Chen etal_2017,chain,37
25_Chen etal_2017,model,35
25_Chen etal_2017,total,34
25_Chen etal_2017,point,31
25_Chen etal_2017,road,28
25_Chen etal_2017,optimization,27
25_Chen etal_2017,transportation,26
25_Chen etal_2017,co2,25
25_Chen etal_2017,problem,25
25_Chen etal_2017,regional,22
25_Chen etal_2017,figure,21
25_Chen etal_2017,management,19
25_Chen etal_2017,multi,19
25_Chen etal_2017,demand,19
25_Chen etal_2017,forest,18
25_Chen etal_2017,university,17
25_Chen etal_2017,objectives,17
