termino,frecuencia
forest,6006
management,2754
objective,2154
optimization,1573
model,1543
area,1357
decision,1331
planning,1298
multi,1288
forests,1206
carbon,1174
solution,1079
study,1041
land,1032
value,1026
stand,1021
species,996
data,990
spatial,969
objectives,968
problem,967
tree,962
supply,962
timber,949
solutions,887
total,867
optimal,863
period,857
pareto,845
figure,845
crossref,844
wood,832
number,828
values,825
time,824
set,810
production,807
analysis,793
harvest,791
biomass,771
table,766
ecological,764
research,759
approach,753
stands,748
criteria,743
results,720
level,719
economic,706
forestry,666
ecosystem,657
risk,645
scenario,641
trees,622
case,621
method,620
volume,613
cost,603
function,602
fire,587
problems,578
environmental,566
constraints,565
process,562
services,552
index,538
algorithm,532
scenarios,513
network,513
point,511
system,507
models,505
multiple,498
trade,498
chain,483
thinning,481
soil,473
programming,471
res,463
per,455
areas,454
change,452
methods,449
npv,446
type,441
non,436
quality,435
average,434
harvesting,430
however,430
costs,420
fig,420
social,416
making,415
energy,409
pine,400
biodiversity,398
growth,397
resources,395
obtained,390
maximum,390
review,383
climate,379
sustainable,377
landscape,372
systems,370
alternatives,367
points,367
development,366
distribution,365
structure,363
year,353
emissions,350
natural,346
offs,345
sequestration,345
years,344
considered,341
available,338
design,333
variables,330
potential,329
policy,329
equation,326
information,325
functions,323
conservation,321
sustainability,321
applied,316
evaluation,316
studies,315
specific,311
best,310
minimum,310
constraint,309
frontier,309
treatment,305
proposed,304
decisions,304
single,302
co2,302
assessment,301
impact,298
according,296
software,296
university,295
among,294
demand,294
could,293
increase,293
amount,292
unit,290
uncertainty,287
indicators,286
sub,285
selected,284
local,281
location,281
due,277
support,276
distance,276
mean,274
ecol,272
rate,270
service,269
habitat,268
scale,265
harvested,264
mixed,264
respectively,264
alternative,263
levels,263
nsga,263
types,262
state,262
work,261
age,261
fuel,259
net,259
site,258
region,258
reference,257
present,256
flow,255
future,255
seed,252
given,252
selection,252
therefore,250
framework,250
capacity,249
higher,249
preferences,249
project,248
associated,247
max,246
size,245
considering,243
possible,243
example,243
